epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.471,1.57692,4.0199,1.59764,0.00158,0.5,0.00989,0.00532,1.19998,4.30709,1.54603,1.667e-05,1.667e-05,1.667e-05
2,20.2289,1.32165,3.682,1.44792,0.00162,0.5,0.02264,0.01232,1.0484,3.96809,1.37093,3.35067e-05,3.35067e-05,3.35067e-05
3,30.2109,1.19869,3.6425,1.29356,0.00335,1,0.05624,0.04096,0.97127,3.84614,1.27487,2.8339e-05,2.8339e-05,2.8339e-05
