epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.226,1.1313,3.09986,1.36031,0.00446,1,0.80406,0.71177,0.62586,3.22897,0.90379,0.00013336,0.00013336,0.00013336
2,117.415,0.86001,1.91938,1.16468,0.95319,0.45455,0.55881,0.46218,0.82201,2.64545,1.0001,0.000189871,0.000189871,0.000189871
3,177.757,0.68048,1.36548,1.04325,1,0.47303,0.55817,0.48862,0.61394,2.74847,0.86183,0.000147363,0.000147363,0.000147363
