epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6372,1.63362,3.9745,1.67905,0.00097,0.5,0.01044,0.00432,1.30313,4.41329,1.48611,1.667e-05,1.667e-05,1.667e-05
2,21.8189,1.41819,3.62998,1.48841,0.00213,0.7,0.01476,0.00884,1.05533,4.09421,1.30543,3.35067e-05,3.35067e-05,3.35067e-05
3,31.7042,1.23398,3.54,1.33985,0.00386,1,0.02783,0.0198,0.97479,3.95648,1.22868,2.8339e-05,2.8339e-05,2.8339e-05
