epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2436,1.27328,3.38108,1.62524,0.0049,1,0.199,0.08891,1.04138,3.92731,1.55833,1.667e-05,1.667e-05,1.667e-05
2,44.4256,1.01438,3.25435,1.40507,0.00485,1,0.66643,0.51453,0.94393,3.56356,1.32219,3.35067e-05,3.35067e-05,3.35067e-05
3,57.0608,0.89101,3.12117,1.30329,0.00486,1,0.90611,0.72489,0.95814,3.39857,1.2227,2.8339e-05,2.8339e-05,2.8339e-05
