epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2189,1.67289,4.15534,1.54466,0.00157,0.16667,0.00092,0.00055,1.65696,4.62164,1.87824,1.667e-05,1.667e-05,1.667e-05
2,37.2435,1.68285,3.91214,1.60266,0.00766,0.83333,0.00706,0.00242,1.37766,4.37925,1.7223,3.35067e-05,3.35067e-05,3.35067e-05
3,47.5897,1.33578,3.99654,1.39991,0.00884,1,0.00916,0.00541,1.26167,4.22156,1.64216,2.8339e-05,2.8339e-05,2.8339e-05
