epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62348,1.59378,3.97116,1.72498,0.00181,0.66667,0.00967,0.00312,1.3735,4.29976,1.60657,0,0,0
2,15.1234,1.49949,4.0201,1.59186,0.00294,0.83333,0.01131,0.00318,1.30642,4.24786,1.57396,1.11689e-05,1.11689e-05,1.11689e-05
3,22.669,1.37335,3.53687,1.52086,0.00292,0.83333,0.01228,0.0037,1.23455,4.21804,1.5361,1.13356e-05,1.13356e-05,1.13356e-05
