epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7494,1.1448,3.14831,1.3721,0.00427,1,0.91615,0.79312,0.54738,3.24343,0.89704,0.00013336,0.00013336,0.00013336
2,91.2448,0.80782,1.957,1.133,0.95511,0.5,0.56722,0.47764,0.58901,2.66199,0.88502,0.000189871,0.000189871,0.000189871
3,137.072,0.67182,1.40626,1.02979,1,0.05552,0.74625,0.63978,0.54895,2.79236,0.85091,0.000147363,0.000147363,0.000147363
