epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6146,1.60263,4.01145,1.6574,0.0016,0.5,0.01213,0.00694,1.15008,4.33154,1.51929,1.667e-05,1.667e-05,1.667e-05
2,29.1464,1.43267,3.67655,1.50859,0.00161,0.5,0.02241,0.01466,1.03052,3.99616,1.34743,3.35067e-05,3.35067e-05,3.35067e-05
3,42.3571,1.23079,3.56087,1.3191,0.00337,1,0.04396,0.03394,0.96948,3.78842,1.2343,2.8339e-05,2.8339e-05,2.8339e-05
